ID,Parameter_ID,Original_Name,Name,Description,Map_Icon
NegexType-c01,NegExType,constructionally different from standard negation,constructionally different from standard negation,,
NegexType-c02,NegExType,different lexical item,different lexical item,,
NegexType-c03,NegExType,identical with standard negation,identical with standard negation,,
NegexType-c04,NegExType,lexical item; identical to standard negation,lexical item; identical to standard negation,,
NegexType-c05,NegExType,lexical item; morphologically different from standard negation,lexical item; morphologically different from standard negation,,
NegexType-c06,NegExType,morphologically different from standard negation,morphologically different from standard negation,,
NegexType-c07,NegExType,negative indefinite,negative indefinite,,
NegexType-c08,NegExType,negative indefinite; standard negation,negative indefinite; standard negation,,
NegexType-c09,NegExType,privative suffix,privative suffix,,
NegexType-c10,NegExType,several,several,,
NegexType-c11,NegExType,two lexical items,two lexical items,,
